fam,tier,coda_sigma,n,slope,ci_lo,ci_hi,r2,cls
46.900_-122.950__c1017,GOLD,20.9,3611,-0.296,-0.438,-0.133,0.08,ANOMALOUS
46.900_-123.000__c615,other,5.6,3613,0.618,0.574,0.665,0.8,SHALLOW-COUPLED
46.900_-123.150__c42,other,9.8,3562,0.837,0.51,1.219,0.25,SHALLOW-COUPLED
46.950_-123.050__c653,other,7.3,2644,0.32,0.258,0.383,0.57,SHALLOW-COUPLED
46.950_-123.100__c523,GOLD,25.7,3621,-0.031,-0.152,0.13,0.0,DECOUPLED
47.000_-122.950__c1036,GOLD,20.6,3603,0.728,0.527,0.925,0.41,SHALLOW-COUPLED
47.000_-122.950__c1157,other,3.1,3458,0.941,0.591,1.283,0.17,SHALLOW-COUPLED
47.050_-122.700__c1278,GOLD,22.7,3626,0.38,0.257,0.509,0.27,SHALLOW-COUPLED
47.050_-122.850__c190,other,5.9,3606,0.641,0.598,0.688,0.85,SHALLOW-COUPLED
47.050_-123.100__c699,GOLD,25.3,3581,0.197,0.073,0.342,0.05,SHALLOW-COUPLED
47.100_-122.550__c41,GOLD,11.2,3613,0.567,0.519,0.62,0.84,SHALLOW-COUPLED
47.100_-122.750__c488,GOLD,16.5,3622,0.778,0.626,0.925,0.61,SHALLOW-COUPLED
47.100_-122.900__c431,other,4.0,3621,0.611,0.569,0.661,0.83,SHALLOW-COUPLED
47.100_-123.000__c554,GOLD,23.7,3578,0.511,0.451,0.579,0.53,SHALLOW-COUPLED
47.100_-123.000__c767,GOLD,31.3,3622,0.388,0.078,0.718,0.08,SHALLOW-COUPLED
47.100_-123.050__c357,GOLD,25.7,3346,-0.066,-0.188,0.075,0.01,DECOUPLED
47.100_-123.150__c387,GOLD,12.0,3567,0.817,0.75,0.9,0.64,SHALLOW-COUPLED
47.150_-122.500__c153,GOLD,32.2,3620,0.95,0.6,1.312,0.28,SHALLOW-COUPLED
47.150_-123.050__c811,GOLD,23.6,3450,0.19,-0.046,0.5,0.01,DECOUPLED
47.200_-122.650__c74,GOLD,25.3,3626,-0.119,-0.47,0.25,0.0,DECOUPLED
47.250_-122.850__c716,GOLD,12.2,3619,0.523,0.199,0.896,0.1,SHALLOW-COUPLED
47.250_-122.950__c774,other,9.2,3615,0.874,0.525,1.299,0.19,SHALLOW-COUPLED
47.250_-123.050__c1196,GOLD,15.5,173,-0.296,-0.454,0.962,0.07,DECOUPLED
47.250_-123.100__c201,other,10.5,3500,1.08,0.785,1.399,0.39,SHALLOW-COUPLED
47.250_-123.300__c72,GOLD,34.2,3625,-0.072,-0.219,0.085,0.0,DECOUPLED
47.350_-122.650__c173,GOLD,33.5,3626,0.127,-0.189,0.503,0.01,DECOUPLED
47.400_-123.400__c59,GOLD,14.6,3626,-0.076,-0.476,0.399,0.0,DECOUPLED
47.450_-122.600__c306,GOLD,31.8,3625,0.49,0.086,0.898,0.07,SHALLOW-COUPLED
47.450_-123.000__c1239,FAIL,2.2,3576,0.829,0.514,1.175,0.24,SHALLOW-COUPLED
47.450_-123.250__c409,GOLD,18.1,3593,0.742,0.643,0.867,0.46,SHALLOW-COUPLED
47.500_-123.250__c372,GOLD,33.8,612,0.616,0.075,1.065,0.15,SHALLOW-COUPLED
47.550_-122.850__c43,other,8.2,3566,0.486,0.26,0.752,0.17,SHALLOW-COUPLED
47.600_-122.700__c724,GOLD,26.2,3621,0.284,0.163,0.443,0.1,SHALLOW-COUPLED
47.700_-122.850__c449,other,10.0,2286,1.266,0.618,2.031,0.15,SHALLOW-COUPLED
47.700_-123.250__c642,other,3.4,3488,1.059,0.881,1.268,0.51,SHALLOW-COUPLED
47.850_-123.150__c149,GOLD,26.4,3626,0.624,0.284,0.982,0.14,SHALLOW-COUPLED
