fam,tier,coda_sigma,n,slope,ci_lo,ci_hi,r2,cls
49.100_-124.450__c577,other,6.1,6676,0.467,0.303,0.643,0.07,SHALLOW-COUPLED
49.100_-124.550__c144,FAIL,1.2,489,0.264,-0.101,0.418,0.04,DECOUPLED
49.100_-124.600__c534,other,7.7,6641,0.81,0.6,1.007,0.18,SHALLOW-COUPLED
49.100_-124.650__c937,GOLD,21.5,6654,0.154,0.087,0.231,0.04,SHALLOW-COUPLED
49.100_-124.850__c1269,GOLD,16.3,6376,-0.048,-0.153,0.064,0.0,DECOUPLED
49.100_-125.000__c878,other,5.5,6639,0.03,-0.162,0.257,0.0,DECOUPLED
49.150_-124.600__c35,other,11.9,6673,0.649,0.496,0.823,0.14,SHALLOW-COUPLED
49.150_-124.650__c506,GOLD,16.0,6171,0.2,-0.091,0.494,0.01,DECOUPLED
49.150_-124.950__c722,GOLD,19.1,5177,0.493,0.244,0.758,0.05,SHALLOW-COUPLED
49.150_-125.150__c451,other,8.5,6675,0.259,0.064,0.488,0.02,SHALLOW-COUPLED
49.200_-124.500__c408,FAIL,0.3,6681,0.353,0.073,0.645,0.02,SHALLOW-COUPLED
49.200_-124.550__c716,other,9.9,6602,0.615,0.403,0.822,0.07,SHALLOW-COUPLED
49.200_-124.800__c596,other,12.5,6419,0.199,0.07,0.318,0.03,SHALLOW-COUPLED
49.200_-125.000__c442,other,5.1,6440,0.664,0.428,0.918,0.1,SHALLOW-COUPLED
49.200_-125.050__c371,FAIL,2.6,6518,0.942,0.698,1.206,0.11,SHALLOW-COUPLED
49.200_-125.100__c666,other,12.6,6628,0.662,0.46,0.886,0.11,SHALLOW-COUPLED
49.250_-124.650__c56,other,14.7,6682,0.962,0.701,1.205,0.15,SHALLOW-COUPLED
49.250_-124.650__c794,other,5.6,6659,0.497,0.36,0.639,0.12,SHALLOW-COUPLED
49.250_-124.750__c672,other,9.1,1901,-0.603,-1.062,-0.124,0.06,ANOMALOUS
49.250_-124.800__c53,other,12.8,6085,0.527,0.339,0.723,0.1,SHALLOW-COUPLED
49.250_-125.000__c359,GOLD,17.5,5816,0.051,-0.083,0.216,0.0,DECOUPLED
49.250_-125.050__c177,other,6.6,5486,0.171,-0.07,0.447,0.01,DECOUPLED
49.300_-124.750__c976,other,4.9,6517,0.296,0.033,0.522,0.02,SHALLOW-COUPLED
49.300_-124.950__c901,GOLD,24.8,5459,0.258,0.133,0.398,0.03,SHALLOW-COUPLED
49.300_-125.150__c1018,GOLD,20.4,6627,0.824,0.586,1.079,0.1,SHALLOW-COUPLED
49.300_-125.150__c270,other,12.8,6589,0.648,0.478,0.842,0.14,SHALLOW-COUPLED
49.300_-125.350__c314,GOLD,19.2,6675,0.916,0.668,1.178,0.11,SHALLOW-COUPLED
49.300_-125.600__c51,FAIL,2.8,6320,0.618,0.415,0.831,0.09,SHALLOW-COUPLED
49.350_-124.900__c496,GOLD,17.2,6617,0.937,0.671,1.23,0.11,SHALLOW-COUPLED
49.350_-124.950__c229,GOLD,28.2,6504,0.888,0.646,1.138,0.13,SHALLOW-COUPLED
49.400_-125.200__c977,other,11.1,6592,0.862,0.564,1.185,0.07,SHALLOW-COUPLED
49.400_-125.700__c752,other,7.8,6540,0.46,0.193,0.681,0.03,SHALLOW-COUPLED
49.450_-125.100__c654,GOLD,21.4,6439,-0.269,-0.429,-0.142,0.03,ANOMALOUS
49.500_-125.700__c359,other,6.1,6668,0.499,0.358,0.653,0.11,SHALLOW-COUPLED
49.600_-125.550__c37,GOLD,40.0,2170,-0.213,-0.316,-0.119,0.13,ANOMALOUS
49.600_-125.650__c256,other,9.9,6628,0.731,0.438,1.005,0.06,SHALLOW-COUPLED
49.600_-126.150__c340,GOLD,33.1,6558,0.273,0.129,0.435,0.05,SHALLOW-COUPLED
49.700_-126.100__c457,GOLD,30.1,2722,0.076,-0.035,0.178,0.0,DECOUPLED
49.850_-126.150__c290,GOLD,15.7,6191,0.5,0.331,0.683,0.08,SHALLOW-COUPLED
