patch,date,dvv,cc_max,n_stack
48.050_-123.850__c46,2016-10-11,0.0001296381645787,0.9928322973876664,30
48.050_-123.850__c46,2016-10-12,6.0398677896365175e-05,0.9930563709425944,30
48.050_-123.850__c46,2016-10-13,2.671573573791164e-05,0.9929853323776758,30
48.050_-123.850__c46,2016-10-14,9.310187102210832e-05,0.9938015271975014,30
48.050_-123.850__c46,2016-10-15,0.0002573891508643,0.9950200654138964,30
48.050_-123.850__c46,2016-10-16,0.0004784594576127,0.9961414630124809,30
48.050_-123.850__c46,2016-10-17,0.0006450909085605,0.9966807906228924,30
48.050_-123.850__c46,2016-10-18,0.0006517842547112,0.9962697056675608,30
48.050_-123.850__c46,2016-10-19,0.0007325220133263,0.9967978415962492,30
48.050_-123.850__c46,2016-10-20,0.0008208783458345,0.9971111208782634,30
48.050_-123.850__c46,2016-10-26,0.0011186579712878,0.9973712724769028,25
48.050_-123.850__c46,2016-10-27,0.0010533067131485,0.9975085355921908,25
48.050_-123.850__c46,2016-10-28,0.0011704469332717,0.9977937445603162,25
48.050_-123.850__c46,2016-10-29,0.0013844881676932,0.9978790229656326,25
48.050_-123.850__c46,2016-10-30,0.0016294066612485,0.9981156280893482,25
48.050_-123.850__c46,2016-10-31,0.0013743311591334,0.9980402227851368,25
48.050_-123.850__c46,2016-11-01,0.0014782732568748,0.9974387834740454,25
48.050_-123.850__c46,2016-11-02,0.0013485726099534,0.9972156880422182,25
48.050_-123.850__c46,2016-11-03,0.0015375254758014,0.9968331134471988,25
48.050_-123.850__c46,2016-11-04,0.0017367168081437,0.9957032916367516,25
48.050_-123.850__c46,2016-11-05,0.001980265790261,0.9945377342076674,25
48.050_-123.850__c46,2016-11-06,0.002082280104375,0.9932986231459132,25
48.050_-123.850__c46,2016-11-07,0.0022767030782124,0.9927562833649002,25
48.050_-123.850__c46,2016-11-08,0.0023845805755822,0.9926068919494978,25
48.050_-123.850__c46,2016-11-09,0.0023789472310848,0.992156490882098,25
48.050_-123.850__c46,2016-11-10,0.0026506320316164,0.9913225996028764,25
48.050_-123.850__c46,2016-11-11,0.0028439123354698,0.989975260185297,25
48.050_-123.850__c46,2016-11-12,0.0030847425949975,0.9876040424065724,25
48.050_-123.850__c46,2016-11-13,0.0027455086393396,0.9878764210022868,25
48.050_-123.850__c46,2016-11-14,0.0028856257870233,0.9890180270497302,25
48.050_-123.850__c46,2016-11-15,0.0025563638326732,0.9887763601581422,25
48.050_-123.850__c46,2016-11-16,0.0024025686498664,0.988468080337227,25
48.050_-123.850__c46,2016-11-17,0.002148908034101,0.9876616874155724,25
48.050_-123.850__c46,2016-11-18,0.0020317054224621,0.9866069209675412,25
48.050_-123.850__c46,2016-11-19,0.0021612235366967,0.9855902115035506,25
48.050_-123.850__c46,2016-11-20,0.0022225050721445,0.9847803556789304,26
48.050_-123.850__c46,2016-11-21,0.0021247163878106,0.9846134715251768,27
48.050_-123.850__c46,2016-11-22,0.0023262205995725,0.9859310128945724,28
48.050_-123.850__c46,2016-11-23,0.0023536831943562,0.986110172139448,29
48.050_-123.850__c46,2016-11-24,0.0024063245832735,0.9858187228868271,30
48.050_-123.850__c46,2016-11-25,0.0027759429683675,0.984817183088568,30
48.050_-123.850__c46,2016-11-26,0.0030942763390347,0.9823858673001448,30
48.050_-123.850__c46,2016-11-27,0.0031541808970338,0.9809241425869754,30
48.050_-123.850__c46,2016-11-28,0.0031206283124026,0.9819467881727116,30
48.050_-123.850__c46,2016-11-29,0.0028901015430695,0.9832835702807924,30
48.050_-123.850__c46,2016-11-30,0.0029574789258542,0.9813710701684456,30
48.050_-123.850__c46,2016-12-01,0.0029497423612118,0.9820913969273176,30
48.050_-123.850__c46,2016-12-02,0.0028757379449512,0.984323384947721,30
