station,fam,n,wkratio,workhr,dn,midday_wd,identity
B001,47.950_-123.350__c644,728865,1.0386877375502412,0.4008616136047142,1.0853361527626242,0.24201601119548888,NATURAL-like
B001,48.000_-122.850__c737,729090,1.0530191858167783,0.3400526683948484,0.959177428818382,0.1999986284272175,NATURAL-like
B001,48.000_-122.900__c232,730422,1.0315466378358222,0.3166361363704817,0.9385290308117668,0.18267111341115136,NATURAL-like
B001,48.000_-122.950__c11,20960,2.8460531865282808,0.6118797709923665,1.4049726085124314,0.5033874045801526,BLAST
B001,48.000_-123.100__c352,577803,1.5432931241204353,0.45277196553150467,0.973913255083914,0.31706481274759735,BLAST
B001,48.000_-123.200__c851,730408,1.0180757588627734,0.3066560059583137,0.9367405822876118,0.17303616608799466,NATURAL-like
B001,48.000_-123.200__c914,730257,1.040484514688981,0.3551544182390583,0.9963183961431428,0.2074201274345881,NATURAL-like
B001,48.000_-123.350__c778,730116,1.0685261329166196,0.36670337316262075,0.9641729832887299,0.21936377233206777,NATURAL-like
B001,48.000_-123.400__c14,726527,1.0391456076544299,0.3847964356451997,1.051197456423628,0.2299529129681347,NATURAL-like
B001,48.000_-123.600__c221,730508,1.1257364884304557,0.43172833151724554,0.9700147395430423,0.277301549059011,FLAT-mixed
B001,48.000_-123.700__c200,681967,1.3639596714979572,0.4520937230100577,0.9049240863157547,0.3020571376620863,BLAST
B001,48.000_-123.700__c425,730523,1.019001206490298,0.29831093613753434,0.8532472970123858,0.16821783845272498,NATURAL-like
B001,48.050_-122.950__c93,604463,1.3596874985647665,0.44620927997247145,1.0250180915951619,0.3017719860438108,BLAST
B001,48.050_-123.300__c131,725430,1.0345578542437144,0.337267551659016,0.9945674317533614,0.19715479095157354,NATURAL-like
B001,48.050_-123.400__c46,730481,1.0133567430198878,0.30475262190255464,0.9178747826622148,0.17132683806971022,NATURAL-like
B001,48.100_-122.750__c175,730518,1.0404387346877784,0.3385748195116342,0.9253447250977119,0.1976898584292242,NATURAL-like
B001,48.100_-122.850__c767,655864,1.3535730390802376,0.4302141907468622,0.9169084328028294,0.2896759084200383,CULTURAL
B001,48.100_-122.950__c67,716021,1.0472269360522706,0.37729480001284876,1.028317703323715,0.2276260053825237,NATURAL-like
B001,48.100_-123.000__c572,30346,1.2543615661537326,0.4347525209253279,1.2090957072484165,0.3044882356818032,CULTURAL
B001,48.100_-123.050__c630,727224,1.0759163090672368,0.3796285601135276,0.9839142177351938,0.23357314940100987,NATURAL-like
B001,48.100_-123.200__c325,637820,1.1638016382909935,0.39197108902198113,1.0201016298922005,0.2465288012291869,FLAT-mixed
B001,48.100_-123.250__c542,709936,1.0937364209129947,0.3748154763246264,0.9704421748704578,0.2304982420950621,NATURAL-like
B001,48.100_-123.600__c664,730445,1.0019958023512343,0.2741999739884591,0.8875745224479864,0.15042474108249082,NATURAL-like
B001,48.200_-123.000__c703,728791,1.0354692420746971,0.3073130705510908,0.9408440043288689,0.17503509236530088,NATURAL-like
B001,48.200_-123.050__c758,730415,1.030755249043322,0.33470424347802274,0.9643172528637028,0.1935913145266732,NATURAL-like
B001,48.200_-123.150__c277,730481,0.9977415266201467,0.26121829315204637,0.8564783042007078,0.13972984923632512,NATURAL-like
B001,48.200_-123.150__c961,730342,0.9952875067577103,0.2505853422095402,0.8725024160425223,0.1334895158706469,NATURAL-like
B001,48.200_-123.300__c833,729994,1.07206813696951,0.4090184302884681,1.025785072109964,0.250123973621701,NATURAL-like
B001,48.200_-123.600__c118,730409,1.014065017691873,0.32012749021438675,0.9654284442957722,0.18015248990634014,NATURAL-like
B001,48.200_-123.650__c708,730482,1.0029145432973992,0.27637641995285306,0.8673300016237574,0.1517381674017977,NATURAL-like
B001,48.250_-122.800__c77,730196,1.0834547189983195,0.39283151373056,0.971557966981417,0.2438304236122904,NATURAL-like
B001,48.250_-123.550__c838,730407,1.0256948951860276,0.3562945042969194,1.0038373801422826,0.20878633419449705,NATURAL-like
B001,48.300_-123.050__c702,730028,1.0536443403838749,0.3858030102954955,1.0139621943742478,0.23259929756118944,NATURAL-like
B001,48.300_-123.100__c289,727878,1.0527149629325703,0.3827701895097805,1.0097285560586509,0.22842564275881397,NATURAL-like
B001,48.300_-123.800__c518,729050,0.9764127633158657,0.2795816473492902,0.9580186795001047,0.14948631781084973,NATURAL-like
B001,48.350_-122.750__c410,730372,1.029013489543345,0.3434455318659532,0.9957205688786157,0.198505692989326,NATURAL-like
B001,48.350_-122.850__c764,730405,1.0084028881932408,0.29817019324895094,0.9285641160868014,0.16772475544389756,NATURAL-like
B001,48.350_-123.500__c846,730523,1.00531301686642,0.26432980207330914,0.8320288681051624,0.14458408564822736,NATURAL-like
B001,48.400_-122.700__c128,730418,1.0090321248984555,0.30924758152181353,0.9545645943839715,0.17209323976134214,NATURAL-like
B001,48.400_-122.850__c484,730291,1.0408427490964516,0.34951135917052245,0.9778584184403023,0.20526475062680494,NATURAL-like
B001,48.400_-122.850__c665,730494,1.017782012648244,0.3163119751839166,0.92426741284313,0.17894602830413392,NATURAL-like
B001,48.400_-123.150__c446,730385,1.012337977740898,0.3175831924259124,0.9622442090119195,0.1796093840919515,NATURAL-like
B001,48.400_-123.200__c904,729922,1.0351975821952284,0.363658034694118,1.013987785862786,0.2166615062979332,NATURAL-like
B001,48.400_-123.850__c954,16489,2.5129102316507645,0.5876645036084662,1.5058933582787652,0.47019224937837345,BLAST
B001,48.450_-123.250__c121,730301,1.018624891738764,0.31776212821836475,0.956264057756736,0.17923294641524523,NATURAL-like
B001,48.450_-123.850__c40,28013,3.158238866338543,0.6324920572591297,1.3792600312662846,0.5228286866811838,BLAST
B001,48.500_-123.500__c634,729853,0.9977957145530726,0.24245293230280618,0.8696428355666179,0.1289012993027363,NATURAL-like
B001,48.500_-123.600__c661,730289,0.9827512395663295,0.2074973058611043,0.8076712425058065,0.10406975868457556,NATURAL-like
B001,48.500_-123.850__c61,38395,1.879912756823517,0.5626774319572861,1.33950204384987,0.42797239223857275,BLAST
B001,48.500_-123.900__c545,730482,1.0355092790176172,0.35245084752259465,0.9702892019670161,0.20600781401868903,NATURAL-like
B001,48.500_-124.000__c499,83024,1.8056300374164997,0.5598742532279822,1.2549136390708755,0.4253709770668722,BLAST
B001,48.500_-124.100__c324,730325,1.0065883145862062,0.2792455413685688,0.9131593835709102,0.15225824119398898,NATURAL-like
B001,48.650_-123.400__c335,729660,1.0239931804157159,0.37499383274401776,1.0468337687245792,0.22117698654167695,NATURAL-like
B001,48.650_-123.550__c439,730440,1.0004147135434354,0.3144666228574558,0.9629661266288925,0.17642106127813373,NATURAL-like
B001,48.650_-124.000__c783,724507,1.0090820137131902,0.27477029207447273,0.927784094646532,0.150955063236104,NATURAL-like
B001,48.650_-124.100__c814,449493,1.6096108909144295,0.4370835585871193,0.9834286252827343,0.31047869488512614,BLAST
B001,48.650_-124.300__c136,11187,2.109841579910564,0.5702154286225083,1.7543648404575556,0.438097792080093,BLAST
B001,48.700_-123.850__c915,730365,1.0074645710358268,0.31438938065213967,0.956287057861378,0.17611878992010843,NATURAL-like
B001,48.750_-123.850__c448,14452,2.761043460853714,0.5884998616108497,1.442972469468019,0.48027954608358703,BLAST
B001,48.750_-123.850__c765,730511,1.0150154599502301,0.2965636383298814,0.892993734974867,0.16605362547586552,NATURAL-like
