cell,cell_lat,cell_lon,src_lat,src_lon,depth_km,frac_deep,n_pairs,n_sites,n_fam,depth_center,depth_mixed
41.00_-122.60,41.0,-122.6,40.975,-122.625,16.685000000000002,0.0,4,4,4,15.91885813148784,False
41.00_-122.80,41.0,-122.8,41.0,-122.8,18.75,0.0,28,27,142,18.751966298834148,False
41.00_-123.00,41.0,-123.0,41.0,-123.05,36.47,0.85,20,20,85,24.64532696546645,False
41.00_-123.20,41.0,-123.2,41.05,-123.175,36.47,1.0,15,15,34,25.409221556888767,False
41.00_-123.40,41.0,-123.4,40.95,-123.4,24.74,0.0,1,1,1,31.147882249564425,False
41.20_-122.60,41.2,-122.6,41.25,-122.65,15.03,0.0,2,2,2,12.321305822498784,False
41.20_-122.80,41.2,-122.8,41.1875,-122.9,20.56,0.0,20,20,92,18.918021999169447,False
41.20_-123.00,41.2,-123.0,41.2,-123.025,22.44,0.03225806451612903,31,30,243,21.015237198150466,False
41.20_-123.20,41.2,-123.2,41.2,-123.2,35.655,1.0,24,24,87,37.535041037861056,False
41.20_-123.40,41.2,-123.4,41.25,-123.375,39.885000000000005,1.0,6,6,6,22.684204819275116,False
41.40_-122.80,41.4,-122.8,41.4,-122.82499999999999,18.41,0.0,10,10,14,16.976274509804036,False
41.40_-123.00,41.4,-123.0,41.375,-123.075,33.15,0.782608695652174,23,23,117,28.132406569112945,False
41.40_-123.20,41.4,-123.2,41.4,-123.2,35.73,1.0,20,20,68,35.31473278933449,False
41.40_-123.40,41.4,-123.4,41.400000000000006,-123.4,34.805,0.6666666666666666,6,6,8,32.06476906318535,True
41.40_-123.60,41.4,-123.6,41.45,-123.525,39.33,1.0,1,1,2,29.70105999999899,False
41.60_-122.80,41.6,-122.8,41.65,-122.85,18.47,0.0,13,13,45,18.47055978832618,False
41.60_-123.00,41.6,-123.0,41.587500000000006,-123.05,27.98,0.2777777777777778,18,18,62,27.765736393304795,False
41.60_-123.20,41.6,-123.2,41.6,-123.2375,33.010000000000005,1.0,22,22,97,31.386852802309726,False
41.60_-123.40,41.6,-123.4,41.6,-123.4,38.0,1.0,14,14,63,39.57897623476531,False
41.60_-123.60,41.6,-123.6,41.65,-123.5,41.14,1.0,3,3,3,40.859204947279196,False
41.80_-123.00,41.8,-123.0,41.825,-123.07499999999999,25.77,0.0,6,6,11,22.750616748699336,False
41.80_-123.20,41.8,-123.2,41.8125,-123.2375,32.53,0.8333333333333334,12,12,31,30.950191715869757,False
41.80_-123.40,41.8,-123.4,41.8,-123.4,39.15,1.0,19,18,53,39.14976668304018,False
41.80_-123.60,41.8,-123.6,41.8,-123.5,43.25,1.0,5,5,5,41.836462324634276,False
42.00_-123.00,42.0,-123.0,42.05,-123.1,28.19,0.0,3,3,3,23.151624089295794,False
42.00_-123.20,42.0,-123.2,42.05,-123.2625,35.47,1.0,20,19,54,32.08843522323955,False
42.00_-123.40,42.0,-123.4,42.05,-123.375,40.48,1.0,15,14,49,41.0252463571833,False
42.00_-123.60,42.0,-123.6,42.1,-123.55,46.07,1.0,7,6,19,43.02147859678442,False
42.00_-123.80,42.0,-123.8,42.05,-123.82499999999999,36.65,1.0,2,2,4,37.539326492338375,False
42.20_-123.00,42.2,-123.0,42.2,-123.1,28.505000000000003,0.0,2,2,3,23.715613303735022,False
42.20_-123.20,42.2,-123.2,42.25,-123.3,37.48,1.0,24,22,101,33.29856160140437,False
42.20_-123.40,42.2,-123.4,42.212500000000006,-123.3875,41.59,1.0,24,22,116,42.88150989907372,False
42.20_-123.60,42.2,-123.6,42.2,-123.55,46.06,1.0,12,11,43,45.49287324476877,False
42.20_-123.80,42.2,-123.8,42.225,-123.8,31.36,0.6,5,4,11,33.62479092097978,True
42.20_-124.00,42.2,-124.0,42.25,-123.95,25.45,0.0,1,1,1,34.28290609766433,False
42.40_-123.00,42.4,-123.0,42.375,-123.07499999999999,27.085,0.0,4,3,5,23.620611302629506,False
42.40_-123.20,42.4,-123.2,42.4,-123.275,30.92,0.6666666666666666,18,17,65,29.769387013585735,True
42.40_-123.40,42.4,-123.4,42.4,-123.4,35.14,1.0,23,21,179,35.91816272454196,False
42.40_-123.60,42.4,-123.6,42.45,-123.55,37.89,1.0,19,18,143,40.998618264659285,False
42.40_-123.80,42.4,-123.8,42.45,-123.8,37.08,0.8888888888888888,9,8,26,35.95906419400866,False
42.40_-124.00,42.4,-124.0,42.412499999999994,-123.9125,22.595,0.0,2,2,3,20.31606097806737,False
42.60_-123.20,42.6,-123.2,42.6,-123.2625,25.854999999999997,0.0,10,9,27,24.44521013457654,False
42.60_-123.40,42.6,-123.4,42.6,-123.4,28.63,0.08695652173913043,23,22,111,27.567309583950326,False
42.60_-123.60,42.6,-123.6,42.6,-123.55,31.33,0.8636363636363636,22,21,91,31.40604642313491,False
42.60_-123.80,42.6,-123.8,42.55,-123.775,36.29,0.8,5,4,9,31.401226534753444,False
42.60_-124.00,42.6,-124.0,42.55,-123.95,36.34,1.0,1,1,1,30.64106729731642,False
42.80_-123.20,42.8,-123.2,42.8,-123.25,34.47,1.0,11,10,27,32.913714915386294,False
42.80_-123.40,42.8,-123.4,42.8,-123.4,33.92,1.0,17,16,65,35.40088856539077,False
42.80_-123.60,42.8,-123.6,42.8,-123.55,30.89,0.7894736842105263,19,18,81,29.412960275085158,False
42.80_-123.80,42.8,-123.8,42.875,-123.775,27.06,0.0,4,4,6,26.557570024018116,False
43.00_-123.20,43.0,-123.2,42.95,-123.25,40.05,1.0,7,7,13,41.382219696196344,False
43.00_-123.40,43.0,-123.4,43.0,-123.425,35.73,1.0,9,9,21,36.5837037833377,False
43.00_-123.60,43.0,-123.6,43.0,-123.55,31.78,0.75,12,10,55,29.909737701518956,False
43.00_-123.80,43.0,-123.8,42.95,-123.775,27.64,0.0,6,6,10,27.681173997085697,False
43.00_-124.00,43.0,-124.0,42.95,-123.95,26.95,0.0,1,1,1,27.1834430071074,False
43.20_-123.20,43.2,-123.2,43.1125,-123.25,42.345,1.0,2,2,3,44.56513516704863,False
43.20_-123.40,43.2,-123.4,43.15,-123.45,36.36,1.0,13,13,62,37.766519001284635,False
43.20_-123.60,43.2,-123.6,43.2,-123.55,32.67,0.9375,16,16,93,30.967902835521112,False
43.20_-123.80,43.2,-123.8,43.25,-123.8,29.62,0.2222222222222222,9,9,21,29.09524007493983,False
43.20_-124.00,43.2,-124.0,43.125,-123.9,28.314999999999998,0.0,2,2,2,28.867209499122655,False
43.40_-123.20,43.4,-123.2,43.3875,-123.25,43.974999999999994,1.0,2,2,3,45.74795038499552,False
43.40_-123.40,43.4,-123.4,43.4,-123.425,35.24,1.0,9,9,16,36.503204185994846,False
43.40_-123.60,43.4,-123.6,43.4,-123.6,28.8,0.2727272727272727,11,11,26,28.79703055056498,False
43.40_-123.80,43.4,-123.8,43.4,-123.8,30.630000000000003,1.0,8,7,11,30.617602519031706,False
43.40_-124.00,43.4,-124.0,43.375,-123.9,30.55,1.0,4,4,4,30.69292125838347,False
43.60_-123.20,43.6,-123.2,43.575,-123.3,33.68,1.0,4,4,11,37.16881998665217,False
43.60_-123.40,43.6,-123.4,43.6,-123.4,26.605,0.0,10,9,41,26.4126959626269,False
43.60_-123.60,43.6,-123.6,43.6,-123.55,27.35,0.13333333333333333,15,14,119,28.869357376105206,False
43.60_-123.80,43.6,-123.8,43.5125,-123.75,31.235,1.0,6,6,8,31.71687357886658,False
43.80_-123.20,43.8,-123.2,43.9,-123.3,28.01,0.0,5,4,13,36.45748716645146,False
43.80_-123.40,43.8,-123.4,43.8,-123.4,22.43,0.0,6,6,14,22.282182137188208,False
43.80_-123.60,43.8,-123.6,43.8,-123.5875,28.545,0.08333333333333333,12,11,39,28.941684201645426,False
43.80_-123.80,43.8,-123.8,43.75,-123.85,32.54,1.0,1,1,1,32.920575405158786,False
43.80_-124.00,43.8,-124.0,43.85,-123.95,32.98,1.0,1,1,1,32.59705664257676,False
44.00_-123.00,44.0,-123.0,44.025,-123.1,20.645,0.0,2,2,2,25.720596039418417,False
44.00_-123.20,44.0,-123.2,44.0,-123.3,19.715,0.0,8,7,22,20.18072931018318,False
44.00_-123.40,44.0,-123.4,44.025,-123.4,21.045,0.0,6,6,12,20.271773267327582,False
44.00_-123.60,44.0,-123.6,44.025,-123.5875,27.58,0.0,8,7,24,27.851479084878445,False
44.00_-123.80,44.0,-123.8,43.975,-123.775,33.644999999999996,1.0,2,2,3,33.11727689784209,False
44.20_-123.20,44.2,-123.2,44.2,-123.3,26.89,0.0,3,3,4,21.697648360287552,False
44.20_-123.40,44.2,-123.4,44.2,-123.45,33.21,0.8888888888888888,9,9,12,33.20842464466823,False
44.20_-123.60,44.2,-123.6,44.2,-123.6,32.04,0.8,10,10,22,32.637237850277145,False
44.20_-123.80,44.2,-123.8,44.25,-123.8,30.87,1.0,2,2,3,31.318363575785533,False
44.40_-123.20,44.4,-123.2,44.5,-123.3,39.46,1.0,2,2,2,33.908513483642636,False
44.40_-123.40,44.4,-123.4,44.5,-123.4,33.45,0.8571428571428571,7,7,12,35.76291564907007,False
44.40_-123.60,44.4,-123.6,44.45,-123.6,28.545,0.1875,16,16,103,34.41392325435098,False
44.40_-123.80,44.4,-123.8,44.462500000000006,-123.75,23.39,0.0,8,8,16,28.13858334675463,False
44.40_-124.00,44.4,-124.0,44.5,-123.9,19.28,0.0,1,1,1,25.57377630553389,False
44.60_-123.20,44.6,-123.2,44.55,-123.3,37.105000000000004,1.0,6,6,10,31.61248424199058,False
44.60_-123.40,44.6,-123.4,44.6,-123.4125,24.865000000000002,0.0,10,10,27,25.421577217962305,False
44.60_-123.60,44.6,-123.6,44.6,-123.6,28.76,0.2,15,15,119,31.0102908396141,False
44.60_-123.80,44.6,-123.8,44.6,-123.775,22.16,0.0,5,5,10,22.6401466275662,False
44.60_-124.00,44.6,-124.0,44.6,-124.0,19.52,0.3333333333333333,3,3,3,27.451992103374305,True
44.80_-123.00,44.8,-123.0,44.8,-122.95,41.44,1.0,1,1,1,40.39139171473629,False
44.80_-123.20,44.8,-123.2,44.8,-123.25,37.7,0.75,8,8,20,41.41103969754287,False
44.80_-123.40,44.8,-123.4,44.775,-123.4,30.729999999999997,0.5,10,10,47,34.99903623747109,True
44.80_-123.60,44.8,-123.6,44.8,-123.55,30.84,0.6666666666666666,15,15,93,30.373831775701387,True
44.80_-123.80,44.8,-123.8,44.9,-123.775,25.57,0.0,2,2,2,23.98708012083462,False
45.00_-123.00,45.0,-123.0,45.0,-123.0875,29.585,0.5,2,2,3,23.046853412197805,True
45.00_-123.20,45.0,-123.2,45.0,-123.25,30.37,0.8181818181818182,11,11,25,33.097792091485196,False
45.00_-123.40,45.0,-123.4,45.025,-123.425,19.13,0.0,17,17,47,16.949422923094716,False
45.00_-123.60,45.0,-123.6,45.0,-123.575,27.26,0.2,15,15,50,29.765200383616772,False
45.00_-123.80,45.0,-123.8,45.0,-123.75,46.79,1.0,1,1,1,51.35933634992513,False
45.20_-122.80,45.2,-122.8,45.3,-122.9,23.75,0.0,1,1,1,27.953999999996636,False
45.20_-123.00,45.2,-123.0,45.25,-123.05,22.87,0.0,15,15,34,24.747628793224816,False
45.20_-123.20,45.2,-123.2,45.25,-123.2,24.52,0.23809523809523808,21,21,72,19.861631108774983,False
45.20_-123.40,45.2,-123.4,45.15,-123.4,28.26,0.30434782608695654,23,23,120,28.249449326852037,True
45.20_-123.60,45.2,-123.6,45.15,-123.525,37.6,0.8947368421052632,19,19,69,49.573529115777276,False
45.20_-123.80,45.2,-123.8,45.2,-123.8,38.89,1.0,1,1,1,38.88943436988558,False
45.40_-122.80,45.4,-122.8,45.4,-122.9,19.6,0.0,4,4,4,23.6219885996258,False
45.40_-123.00,45.4,-123.0,45.4,-123.05,20.19,0.0,17,17,35,20.89029788792576,False
45.40_-123.20,45.4,-123.2,45.4,-123.25,23.82,0.15789473684210525,19,19,54,33.265025433308224,False
45.40_-123.40,45.4,-123.4,45.375,-123.4,22.29,0.14285714285714285,14,14,31,17.71823734885958,False
45.40_-123.60,45.4,-123.6,45.4,-123.5125,40.64,0.9166666666666666,12,12,28,39.499739104654765,False
45.40_-124.00,45.4,-124.0,45.45,-124.05,25.33,0.0,1,1,1,24.198867509789075,False
45.60_-122.80,45.6,-122.8,45.5,-122.85,28.67,0.0,1,1,1,21.7009486166005,False
45.60_-123.00,45.6,-123.0,45.6125,-123.05,41.51,1.0,12,12,17,47.97574965229558,False
45.60_-123.20,45.6,-123.2,45.6,-123.25,27.4,0.2608695652173913,23,23,80,24.93268075980494,False
45.60_-123.40,45.6,-123.4,45.6,-123.4,37.69,1.0,22,22,125,38.94795346728243,False
45.60_-123.60,45.6,-123.6,45.6,-123.5,34.76,0.8571428571428571,7,7,15,22.83300011021754,False
45.80_-122.80,45.8,-122.8,45.849999999999994,-122.85,19.68,0.0,2,2,2,12.797644032921514,False
45.80_-123.00,45.8,-123.0,45.875,-123.0375,22.299999999999997,0.0,12,12,24,17.654577777777945,False
45.80_-123.20,45.8,-123.2,45.85,-123.25,33.77,0.8,30,30,133,33.986805204581835,False
45.80_-123.40,45.8,-123.4,45.9,-123.375,30.04,0.5294117647058824,17,17,32,16.177581699344913,True
45.80_-123.60,45.8,-123.6,45.825,-123.5125,19.665,0.0,2,2,3,24.42385304106218,False
46.00_-122.80,46.0,-122.8,46.075,-122.875,19.79,0.0,2,2,2,18.861606463878143,False
46.00_-123.00,46.0,-123.0,46.0,-123.05,18.29,0.0,10,10,17,23.552466117459495,False
46.00_-123.20,46.0,-123.2,46.0,-123.225,33.02,0.5652173913043478,23,23,60,25.198751892116043,True
46.00_-123.40,46.0,-123.4,45.95,-123.4,38.135,0.8333333333333334,6,6,8,38.24397566193984,False
46.00_-123.60,46.0,-123.6,46.0,-123.5,18.06,0.0,3,3,3,21.23737563879486,False
46.20_-122.80,46.2,-122.8,46.2,-122.9,22.47,0.0,5,5,5,17.839590909091516,False
46.20_-123.00,46.2,-123.0,46.225,-123.05,19.085,0.0,18,18,53,30.178458715604542,False
46.20_-123.20,46.2,-123.2,46.25,-123.2,18.91,0.0,19,19,40,25.919097744360997,False
46.20_-123.40,46.2,-123.4,46.2,-123.4125,17.965,0.0,4,4,5,18.031603773584354,False
46.20_-123.60,46.2,-123.6,46.275,-123.525,21.355,0.0,2,2,2,23.845511908167154,False
46.40_-122.60,46.4,-122.6,46.5,-122.65,22.1,0.0,1,1,1,26.30396419437109,False
46.40_-122.80,46.4,-122.8,46.5,-122.85,30.99,0.6153846153846154,13,13,21,28.900009650174194,True
46.40_-123.00,46.4,-123.0,46.45,-123.1,47.54,0.9444444444444444,18,18,35,19.738173537448848,False
46.40_-123.20,46.4,-123.2,46.4,-123.225,25.01,0.24242424242424243,33,33,98,25.010931404210815,False
46.40_-123.40,46.4,-123.4,46.4,-123.375,28.435000000000002,0.375,8,8,10,31.980231607629754,True
46.60_-122.60,46.6,-122.6,46.575,-122.6,19.65,0.0,4,4,5,19.815789106142624,False
46.60_-122.80,46.6,-122.8,46.6,-122.8,34.94,0.6842105263157895,19,19,44,47.84658554044195,True
46.60_-123.00,46.6,-123.0,46.6,-123.025,47.81,1.0,17,17,45,50.800635616438385,False
46.60_-123.20,46.6,-123.2,46.6,-123.2,36.89,0.8823529411764706,17,17,31,33.16629801396701,False
46.60_-123.40,46.6,-123.4,46.575,-123.375,21.365000000000002,0.0,2,2,2,25.4227818448037,False
46.80_-122.40,46.8,-122.4,46.875,-122.45,28.14,0.3333333333333333,3,3,4,14.134398782345304,True
46.80_-122.60,46.8,-122.6,46.85,-122.625,43.19,0.7619047619047619,21,21,42,14.027554844606355,False
46.80_-122.80,46.8,-122.8,46.825,-122.8,32.04,0.717948717948718,39,39,182,33.95071428571258,False
46.80_-123.00,46.8,-123.0,46.825,-123.0,38.49,1.0,35,35,130,32.07470870015601,False
46.80_-123.20,46.8,-123.2,46.8125,-123.2,29.39,0.45454545454545453,22,22,51,25.798426655411475,True
46.80_-123.40,46.8,-123.4,46.85,-123.4,20.17,0.0,1,1,2,34.99445162177132,False
46.80_-123.60,46.8,-123.6,46.7,-123.5,26.11,0.0,1,1,1,38.251473298232774,False
47.00_-122.40,47.0,-122.4,47.025,-122.45,35.5,0.75,4,4,4,40.00437668161398,False
47.00_-122.60,47.0,-122.6,47.0,-122.625,49.0,1.0,19,19,35,48.3429667896676,False
47.00_-122.80,47.0,-122.8,46.975,-122.75,44.925,1.0,40,40,124,45.81027602917669,False
47.00_-123.00,47.0,-123.0,47.0,-123.0,42.84,1.0,27,27,83,40.21059829059854,False
47.00_-123.20,47.0,-123.2,47.0,-123.175,41.0,1.0,23,23,38,36.742334505426626,False
47.00_-123.40,47.0,-123.4,46.95,-123.45,23.99,0.0,1,1,1,27.176556095151074,False
47.20_-122.40,47.2,-122.4,47.2625,-122.5,42.05,1.0,6,6,8,25.18629213483081,False
47.20_-122.60,47.2,-122.6,47.2375,-122.6,31.825,0.7,20,20,51,45.98735191638072,False
47.20_-122.80,47.2,-122.8,47.2,-122.8,35.55,0.6923076923076923,39,39,159,23.250293020040736,True
47.20_-123.00,47.2,-123.0,47.2,-123.05,41.13,0.9767441860465116,43,43,177,39.54862548512297,False
47.20_-123.20,47.2,-123.2,47.2,-123.2,42.24,1.0,27,27,71,40.13419289110537,False
47.20_-123.40,47.2,-123.4,47.15,-123.45,44.23,1.0,1,1,1,37.50941186828636,False
47.40_-122.40,47.4,-122.4,47.3875,-122.4875,35.8,0.75,8,8,10,15.529652844744803,False
47.40_-122.60,47.4,-122.6,47.4,-122.6125,32.995,0.5833333333333334,12,12,25,39.20827981652039,True
47.40_-122.80,47.4,-122.8,47.4,-122.825,27.47,0.4,40,39,154,31.149921337268847,True
47.40_-123.00,47.4,-123.0,47.4,-123.025,40.99,0.7560975609756098,41,40,139,32.11875326484545,False
47.40_-123.20,47.4,-123.2,47.4,-123.2,41.4,1.0,21,21,33,45.59761170547516,False
47.40_-123.40,47.4,-123.4,47.375,-123.35,37.94,1.0,4,4,5,37.4978728380625,False
47.40_-123.60,47.4,-123.6,47.45,-123.5,39.63,1.0,1,1,1,32.118269230769485,False
47.60_-122.20,47.6,-122.2,47.5,-122.25,39.57,1.0,1,1,1,26.015290780143037,False
47.60_-122.40,47.6,-122.4,47.5,-122.3,19.73,0.0,1,1,1,23.33073363431116,False
47.60_-122.60,47.6,-122.6,47.675,-122.65,20.86,0.0,20,20,33,18.561044776124056,False
47.60_-122.80,47.6,-122.8,47.6,-122.8,21.99,0.2,45,45,253,19.953556485357616,False
47.60_-123.00,47.6,-123.0,47.6,-123.0,36.08,0.6595744680851063,47,45,177,41.90750458715691,True
47.60_-123.20,47.6,-123.2,47.6,-123.2,43.95,0.9714285714285714,35,34,100,44.71679852805886,False
47.60_-123.40,47.6,-123.4,47.662499999999994,-123.3625,40.28,1.0,20,20,37,39.54500240170162,False
47.80_-122.60,47.8,-122.6,47.775,-122.6,18.38,0.0,9,9,11,23.351732394363733,False
47.80_-122.80,47.8,-122.8,47.8,-122.825,28.06,0.3939393939393939,33,32,78,19.66575129533397,True
47.80_-123.00,47.8,-123.0,47.85,-123.05,46.41,1.0,45,41,182,47.67298284862035,False
47.80_-123.20,47.8,-123.2,47.85,-123.2,41.76,0.975609756097561,41,37,190,30.745879535559357,False
47.80_-123.40,47.8,-123.4,47.85,-123.4,42.49,1.0,25,23,46,39.95886792452617,False
47.80_-123.60,47.8,-123.6,47.875,-123.525,36.79,1.0,12,10,12,36.78416993930765,False
48.00_-122.80,48.0,-122.8,48.0,-122.875,25.3,0.36,25,24,53,43.99772455088497,True
48.00_-123.00,48.0,-123.0,48.0,-123.0,47.995000000000005,1.0,34,30,134,49.470407434943915,False
48.00_-123.20,48.0,-123.2,48.037499999999994,-123.25,42.7,1.0,36,33,112,41.16041666666483,False
48.00_-123.40,48.0,-123.4,48.05,-123.4,38.29,1.0,31,27,59,40.19920273348565,False
48.00_-123.60,48.0,-123.6,48.05,-123.55,42.9,1.0,26,21,58,39.36941811287808,False
48.20_-122.80,48.2,-122.8,48.2375,-122.875,26.67,0.0,22,20,44,21.370967741934262,False
48.20_-123.00,48.2,-123.0,48.2375,-123.0125,24.22,0.28125,32,28,122,22.43167358229925,False
48.20_-123.20,48.2,-123.2,48.225,-123.2,31.3,0.5862068965517241,29,25,95,23.439024390244185,True
48.20_-123.40,48.2,-123.4,48.2375,-123.425,35.08,0.71875,32,27,107,33.368421052638155,False
48.20_-123.60,48.2,-123.6,48.25,-123.6,34.06,0.9117647058823529,34,27,222,34.00282738095267,False
48.20_-123.80,48.2,-123.8,48.275,-123.775,31.34,1.0,25,20,72,31.341787033926543,False
48.20_-124.00,48.2,-124.0,48.3,-123.9,39.53,1.0,4,4,4,31.95919965202256,False
48.40_-122.80,48.4,-122.8,48.4,-122.85,38.34,0.72,25,23,84,53.98461538461337,False
48.40_-123.00,48.4,-123.0,48.35,-123.05,32.504999999999995,0.6111111111111112,18,17,31,48.6909090909061,True
48.40_-123.20,48.4,-123.2,48.425,-123.225,31.57,0.5263157894736842,19,19,35,45.19740061162111,True
48.40_-123.40,48.4,-123.4,48.4,-123.4125,20.5,0.05555555555555555,18,17,33,19.59090909090807,False
48.40_-123.60,48.4,-123.6,48.4,-123.65,21.71,0.03225806451612903,31,26,150,20.381322957198833,False
48.40_-123.80,48.4,-123.8,48.45,-123.8,30.35,0.5185185185185185,27,21,139,38.77835051546406,True
48.40_-124.00,48.4,-124.0,48.475,-123.95,35.62,0.9583333333333334,24,19,94,49.9,False
48.40_-124.20,48.4,-124.2,48.425,-124.25,27.284999999999997,0.5,2,2,2,30.911428571428583,True
48.60_-122.80,48.6,-122.8,48.55,-122.8,26.64,0.0,1,1,1,52.62857142856616,False
48.60_-123.20,48.6,-123.2,48.6,-123.2625,44.37,0.8333333333333334,12,12,18,36.055555555556595,False
48.60_-123.40,48.6,-123.4,48.6,-123.4,42.15,0.9090909090909091,11,11,18,48.68780487804835,False
48.60_-123.60,48.6,-123.6,48.6,-123.625,26.74,0.38095238095238093,21,18,43,40.59111111110736,True
48.60_-123.80,48.6,-123.8,48.575,-123.8125,24.72,0.041666666666666664,24,19,67,26.9615671641799,False
48.60_-124.00,48.6,-124.0,48.6,-124.0,23.38,0.1111111111111111,27,21,124,23.4772653982581,False
48.60_-124.20,48.6,-124.2,48.65,-124.175,37.09,1.0,19,14,51,34.16521739130507,False
48.60_-124.40,48.6,-124.4,48.65,-124.35,36.2,0.9166666666666666,12,8,22,37.847342995169015,False
48.80_-123.00,48.8,-123.0,48.7,-123.05,40.8,1.0,1,1,1,39.89983065198663,False
48.80_-123.20,48.8,-123.2,48.725,-123.3,32.79,0.5,2,2,2,40.999999999996234,True
48.80_-123.60,48.8,-123.6,48.8125,-123.6875,26.59,0.45454545454545453,22,20,63,18.641881298993734,True
48.80_-123.80,48.8,-123.8,48.8,-123.8,30.034999999999997,0.5,20,19,57,19.196052631578414,True
48.80_-124.00,48.8,-124.0,48.75,-124.0,24.880000000000003,0.038461538461538464,26,21,78,28.6442622950818,False
48.80_-124.20,48.8,-124.2,48.75,-124.2,23.5,0.1111111111111111,27,19,105,17.366666666666475,False
48.80_-124.40,48.8,-124.4,48.8,-124.375,30.75,0.6296296296296297,27,18,215,34.46086393088553,True
48.80_-124.60,48.8,-124.6,48.85,-124.6,32.61,0.6111111111111112,18,10,73,26.69761904761961,True
48.80_-124.80,48.8,-124.8,48.9,-124.75,30.34,0.7368421052631579,19,13,75,33.200000000000074,False
49.00_-123.60,49.0,-123.6,48.95,-123.7,49.12,1.0,3,1,3,18.944444444441285,False
49.00_-123.80,49.0,-123.8,48.95,-123.85,48.26,1.0,8,8,15,52.266160520607514,False
49.00_-124.00,49.0,-124.0,48.95,-123.9,43.75,0.7777777777777778,9,9,18,22.733333333333334,False
49.00_-124.20,49.0,-124.2,49.0,-124.2,25.595,0.5,4,3,4,23.184244372989237,True
49.00_-124.40,49.0,-124.4,49.0,-124.45,27.49,0.38095238095238093,21,16,93,26.65209790209789,True
49.00_-124.60,49.0,-124.6,49.05,-124.6,41.63,1.0,19,13,87,40.663876651983124,False
49.00_-124.80,49.0,-124.8,49.0,-124.75,29.65,0.3157894736842105,19,13,208,27.864285714287114,True
49.00_-125.00,49.0,-125.0,49.05,-125.05,37.69,1.0,3,3,5,37.700000000000074,False
49.20_-124.20,49.2,-124.2,49.1,-124.2,39.99,1.0,1,1,1,48.74879769994773,False
49.20_-124.40,49.2,-124.4,49.1,-124.3,26.58,0.25,4,2,4,45.11525189786092,False
49.20_-124.60,49.2,-124.6,49.1375,-124.6,40.53,1.0,18,13,85,38.56553730733159,False
49.20_-124.80,49.2,-124.8,49.175,-124.8,35.22,1.0,19,15,83,43.25615763546725,False
