order,net,sta,lat,lon,region,record_yr,tremor_km,chans,band,status
109,UW,DONK,48.424,-122.157,5_VancIsl,7.0,4.0,HHZ,1-band,
110,CC,VOIT,46.966,-121.983,4_Washington,7.0,4.0,BHZ,1-band,
111,UW,LCCR,45.206,-122.478,3_NOregon,6.0,9.0,HHZ,1-band,
112,NC,LGP,40.912,-122.829,1_NorCal,8.0,3.0,EHZ,1-band,
113,UW,BERY,48.264,-122.096,5_VancIsl,8.0,11.0,HHZ,1-band,
114,UW,CINE,46.557,-122.567,4_Washington,7.0,5.0,HHZ,1-band,
115,UW,PCOR,45.214,-123.968,3_NOregon,5.0,3.0,HHZ,1-band,
116,NC,LSH,40.793,-122.039,1_NorCal,8.0,3.0,EHZ,1-band,
117,UW,LRIV,48.057,-123.504,5_VancIsl,7.0,5.0,HHZ,1-band,
118,UW,WHGC,46.656,-123.73,4_Washington,7.0,5.0,HHZ,1-band,
119,UO,WLOO,44.523,-122.738,3_NOregon,6.0,10.0,HHZ,1-band,
120,NC,LDB,40.431,-121.786,1_NorCal,8.0,4.0,EHZ,1-band,
121,UW,SLDQ,48.062,-124.141,5_VancIsl,7.0,5.0,HHZ,1-band,
122,UW,TOLE,46.453,-122.845,4_Washington,7.0,6.0,HHZ,1-band,
123,UO,UCHR,44.835,-123.871,3_NOregon,5.0,4.0,HHZ,1-band,
124,NC,LRR,40.466,-121.622,1_NorCal,8.0,4.0,EHZ,1-band,
125,CN,SHPB,49.348,-126.26,5_VancIsl,7.0,7.0,HHZ,1-band,
126,UW,SP2,47.556,-122.249,4_Washington,7.0,6.0,HHZ,1-band,
127,UO,TRIPT,45.63,-123.644,3_NOregon,5.0,5.0,HHZ,1-band,
128,NC,LEL,40.464,-121.518,1_NorCal,8.0,4.0,EHZ,1-band,
129,UW,PRIN,48.212,-122.631,5_VancIsl,6.0,3.0,HHZ,1-band,
130,UW,WISH,47.116,-123.771,4_Washington,7.0,6.0,HHZ,1-band,
131,NC,LSF,40.658,-122.524,1_NorCal,8.0,5.0,EHZ,1-band,
132,CN,GHNB,49.306,-124.236,5_VancIsl,6.0,3.0,HHZ,1-band,
133,UO,WIKI,46.106,-123.585,4_Washington,6.0,1.0,HHZ,1-band,
134,NC,LVR,40.039,-122.673,1_NorCal,8.0,5.0,EHZ,1-band,
135,CN,BTB,49.469,-125.523,5_VancIsl,6.0,4.0,HHZ,1-band,
136,UW,RADR,46.422,-123.799,4_Washington,7.0,8.0,HHZ,1-band,
137,BK,WEAV,40.746,-122.984,1_NorCal,8.0,5.0,BHZ/HHZ,2-band,
138,UW,HILL,48.388,-122.447,5_VancIsl,6.0,4.0,HHZ,1-band,
139,UW,GSM,47.204,-121.796,4_Washington,7.0,8.0,EHZ,1-band,
140,NC,LPG,40.145,-122.688,1_NorCal,8.0,5.0,EHZ,1-band,
141,CN,OZB,48.961,-125.498,5_VancIsl,6.0,4.0,HHZ,1-band,
142,UO,RAIN,46.082,-123.011,4_Washington,6.0,2.0,HHZ,1-band,
143,NC,LGY,41.345,-122.196,1_NorCal,8.0,5.0,HHZ,1-band,
144,UW,OTR,48.086,-124.345,5_VancIsl,6.0,4.0,HHZ,1-band,
145,CC,PR01,46.91,-122.038,4_Washington,6.0,3.0,BHZ,1-band,
146,NC,LRB,40.143,-122.558,1_NorCal,8.0,6.0,EHZ,1-band,
147,UW,OLGA,48.605,-122.803,5_VancIsl,5.0,1.0,HHZ,1-band,
148,CC,PR03,46.903,-122.033,4_Washington,6.0,3.0,BHZ,1-band,
149,BK,SIGP,41.873,-124.068,1_NorCal,8.0,6.0,BHZ/HHZ,2-band,
150,CN,QEPB,49.242,-123.114,5_VancIsl,6.0,8.0,HHZ,1-band,
151,CC,PR04,46.93,-121.989,4_Washington,6.0,3.0,BHZ,1-band,
152,NC,LCM,40.147,-121.523,1_NorCal,8.0,6.0,EHZ/HHZ,2-band,
153,UW,NATEM,48.106,-122.819,5_VancIsl,5.0,2.0,HHZ,1-band,
154,CC,CRBN,46.988,-121.961,4_Washington,6.0,3.0,BHZ,1-band,
155,BK,DMOR,40.71,-123.703,1_NorCal,7.0,1.0,BHZ/HHZ,2-band,
156,UW,CHIMA,48.011,-122.781,5_VancIsl,5.0,2.0,HHZ,1-band,
157,CC,SWF2,46.178,-122.217,4_Washington,6.0,3.0,BHZ,1-band,
158,BK,RVIT,39.906,-123.379,1_NorCal,7.0,2.0,BHZ/HHZ,2-band,
159,UW,RNWY,48.612,-123.126,5_VancIsl,5.0,2.0,HHZ,1-band,
160,UW,LCW2,46.663,-122.697,4_Washington,6.0,4.0,EHZ,1-band,
161,NC,LDH,40.512,-121.582,1_NorCal,7.0,2.0,HHZ,1-band,
162,UW,LOPEZ,48.437,-122.887,5_VancIsl,5.0,4.0,HHZ,1-band,
163,UW,WYNO,47.434,-123.613,4_Washington,6.0,4.0,HHZ,1-band,
164,NC,GRO,39.917,-122.671,1_NorCal,7.0,3.0,EHZ,1-band,
165,UW,OSQM,48.043,-123.131,5_VancIsl,5.0,5.0,HHZ,1-band,
166,CC,PR02,46.918,-122.049,4_Washington,6.0,4.0,BHZ,1-band,
167,NC,GVV,39.775,-122.676,1_NorCal,7.0,3.0,EHZ,1-band,
168,UW,GUEM,48.547,-122.63,5_VancIsl,5.0,6.0,HHZ,1-band,
169,UW,SEAS2,46.036,-123.896,4_Washington,6.0,4.0,HHZ,1-band,
170,NC,GBB,39.801,-122.345,1_NorCal,7.0,3.0,EHZ,1-band,
171,UW,BHAM,48.787,-122.418,5_VancIsl,5.0,12.0,HHZ,1-band,
172,UW,PUPY,46.495,-122.146,4_Washington,7.0,11.0,EHZ,1-band,
173,NC,LMC,41.274,-122.122,1_NorCal,7.0,3.0,HHZ,1-band,
174,UW,SAXON,48.683,-122.161,5_VancIsl,5.0,14.0,HHZ,1-band,
175,UW,BST09,47.654,-122.309,4_Washington,6.0,5.0,HHZ,1-band,
176,BK,YBH,41.732,-122.71,1_NorCal,7.0,4.0,BHZ/HHZ,2-band,
177,CN,BOIB,49.39,-123.379,5_VancIsl,5.0,17.0,HHZ,1-band,
178,CC,SIFT,46.867,-121.953,4_Washington,6.0,5.0,BHZ,1-band,
179,BK,HAYF,40.523,-123.232,1_NorCal,7.0,4.0,BHZ/HHZ,2-band,
180,UW,MULN,48.535,-122.064,5_VancIsl,5.0,18.0,HHZ,1-band,
181,CC,STD,46.237,-122.224,4_Washington,6.0,5.0,BHZ,1-band,
182,BK,MOGU,41.831,-122.421,1_NorCal,7.0,4.0,BHZ/HHZ,2-band,
183,UW,LEBA,46.546,-123.563,4_Washington,6.0,6.0,HHZ,1-band,
184,BK,DLIK,40.455,-122.894,1_NorCal,7.0,5.0,BHZ/HHZ,2-band,
185,UW,SALO,47.951,-122.373,4_Washington,6.0,6.0,HHZ,1-band,
186,NC,KHBB,40.66,-123.22,1_NorCal,7.0,5.0,HHZ,1-band,
187,CC,PR05,46.842,-121.949,4_Washington,6.0,6.0,BHZ,1-band,
188,BK,BJES,40.544,-123.88,1_NorCal,7.0,5.0,BHZ/HHZ,2-band,
189,CC,GTWY,46.74,-121.917,4_Washington,6.0,7.0,BHZ,1-band,
190,NC,GCK,39.544,-122.437,1_NorCal,7.0,6.0,EHZ,1-band,
191,CC,JRO,46.275,-122.218,4_Washington,6.0,7.0,HHZ,1-band,
192,NC,OCR,39.868,-121.752,1_NorCal,7.0,8.0,EHZ,1-band,
193,UW,ANGUS,47.101,-123.493,4_Washington,5.0,1.0,HHZ,1-band,
194,NC,LTC,40.209,-122.126,1_NorCal,6.0,2.0,EHZ/HHZ,2-band,
195,UW,CORE,46.926,-123.916,4_Washington,6.0,8.0,HHZ,1-band,
196,NC,KIP,39.809,-123.481,1_NorCal,6.0,2.0,EHZ,1-band,
197,CC,KAUT,46.73,-121.857,4_Washington,6.0,8.0,BHZ,1-band,
198,NC,KRMB,41.523,-123.908,1_NorCal,6.0,3.0,HHZ,1-band,
199,UW,DOTY,46.705,-123.369,4_Washington,5.0,2.0,HHZ,1-band,
200,BK,SAGE,40.795,-122.039,1_NorCal,6.0,3.0,BHZ/HHZ,2-band,
201,CC,MAR,46.285,-122.297,4_Washington,5.0,2.0,BHZ,1-band,
202,NC,KCR,40.426,-123.821,1_NorCal,6.0,3.0,EHZ,1-band,
203,UW,RATT,47.425,-121.803,4_Washington,7.0,16.0,HHZ,1-band,
204,NC,KOM,41.279,-123.453,1_NorCal,6.0,4.0,EHZ,1-band,
205,UW,WINDI,47.314,-123.332,4_Washington,5.0,3.0,HHZ,1-band,
206,NC,LMI,40.512,-122.149,1_NorCal,6.0,4.0,EHZ,1-band,
207,UW,SKAMO,46.308,-123.338,4_Washington,5.0,3.0,HHZ,1-band,
208,NC,KRK,39.563,-123.184,1_NorCal,6.0,4.0,EHZ,1-band,
209,UW,HANS,47.907,-122.569,4_Washington,5.0,3.0,HHZ,1-band,
210,BK,AONC,39.94,-122.061,1_NorCal,6.0,5.0,BHZ/HHZ,2-band,
211,UW,MONTE,47.024,-123.575,4_Washington,5.0,3.0,HHZ,1-band,
212,BK,LCOW,40.643,-122.185,1_NorCal,6.0,5.0,BHZ/HHZ,2-band,
213,UW,ARTIC,46.805,-123.759,4_Washington,5.0,3.0,HHZ,1-band,
214,NC,KFP,39.639,-123.425,1_NorCal,6.0,5.0,EHZ,1-band,
215,CC,UNFR,46.273,-122.292,4_Washington,5.0,3.0,BHZ,1-band,
216,NC,LWHB,40.642,-121.947,1_NorCal,6.0,6.0,EHZ,1-band,
217,UW,YELM,46.94,-122.591,4_Washington,5.0,4.0,HHZ,1-band,
218,BK,BCCR,39.819,-121.734,1_NorCal,6.0,6.0,BHZ/HHZ,2-band,
219,UW,PAN4H,47.176,-123.27,4_Washington,5.0,4.0,HHZ,1-band,
220,NC,KBN,39.892,-123.195,1_NorCal,5.0,1.0,EHZ,1-band,
221,UW,LEID,46.829,-123.465,4_Washington,5.0,4.0,HHZ,1-band,
222,BK,GUMB,41.213,-122.509,1_NorCal,5.0,2.0,BHZ/HHZ,2-band,
223,UW,NEMA,46.497,-123.75,4_Washington,5.0,4.0,HHZ,1-band,
224,BK,GRPK,41.122,-121.994,1_NorCal,5.0,2.0,BHZ/HHZ,2-band,
225,UW,COWS,47.666,-121.931,4_Washington,5.0,4.0,HHZ,1-band,
226,NC,GROB,39.917,-122.671,1_NorCal,5.0,3.0,EHZ,1-band,
227,UW,ONRC,47.933,-124.396,4_Washington,5.0,4.0,HHZ,1-band,
228,BK,SANG,41.91,-123.649,1_NorCal,5.0,4.0,BHZ/HHZ,2-band,
229,UW,EAGLE,47.258,-122.999,4_Washington,5.0,5.0,HHZ,1-band,
230,BK,SBAR,41.663,-123.071,1_NorCal,5.0,5.0,BHZ/HHZ,2-band,
231,UW,LACKA,46.852,-122.486,4_Washington,5.0,5.0,HHZ,1-band,
232,BK,MILL,41.705,-124.041,1_NorCal,5.0,5.0,BHZ/HHZ,2-band,
233,CC,NFT,46.27,-122.256,4_Washington,5.0,5.0,BHZ,1-band,
234,BK,PIT6,40.931,-121.948,1_NorCal,5.0,5.0,BHZ/HHZ,2-band,
235,UW,BOIS,46.551,-123.13,4_Washington,5.0,6.0,HHZ,1-band,
236,NC,OGO,39.654,-121.613,1_NorCal,7.0,22.0,EHZ,1-band,
237,UW,DOORS,47.055,-123.257,4_Washington,5.0,6.0,HHZ,1-band,
238,UW,DEAL,46.741,-123.559,4_Washington,5.0,6.0,HHZ,1-band,
239,UW,HOQUI,47.081,-123.957,4_Washington,5.0,10.0,HHZ,1-band,
