net,sta,lat,lon,chans,earliest,tremor_km,record_yr,band_km
UW,LEID,46.829,-123.465,HHZ,2021.0,4.0,5.0,28.0
UW,SP2,47.556,-122.249,HHZ,2019.0,6.0,7.0,28.0
CN,SHPB,49.348,-126.26,HHZ,2019.0,7.0,7.0,28.0
CN,OZB,48.961,-125.498,HHZ,2020.0,4.0,6.0,28.0
NC,KSXB,41.83,-123.877,HHZ,2017.0,4.0,9.0,29.0
UW,MCW,48.679,-122.833,EHZ,2017.0,3.0,9.0,29.0
UW,MONTE,47.024,-123.575,HHZ,2021.0,3.0,5.0,30.0
UW,SALO,47.951,-122.373,HHZ,2020.0,6.0,6.0,30.0
UW,SLDQ,48.062,-124.141,HHZ,2019.0,5.0,7.0,30.0
PB,B024,45.638,-123.856,EHZ,2006.0,5.0,20.0,31.0
UW,PCOR,45.214,-123.968,HHZ,2021.0,3.0,5.0,31.0
UW,BBO,42.888,-122.68,EHZ/HHZ,2012.0,2.0,14.0,32.0
UW,DEAL,46.741,-123.559,HHZ,2021.0,6.0,5.0,32.0
BK,DANT,40.295,-121.802,BHZ/HHZ,2016.0,1.0,10.0,32.0
NC,KRMB,41.523,-123.908,HHZ,2020.0,3.0,6.0,32.0
PB,B012,48.925,-125.542,EHZ,2005.0,4.0,21.0,33.0
UW,OLQN,47.513,-123.813,HHZ,2019.0,2.0,7.0,33.0
NC,LDL,41.381,-122.294,HHZ,2017.0,2.0,9.0,33.0
UO,SALT,42.493,-122.588,HHZ,2020.0,1.0,6.0,33.0
UO,MARQ,45.066,-122.669,HHZ,2020.0,4.0,6.0,33.0
CN,NCSB,50.403,-126.056,HHZ,2017.0,4.0,9.0,34.0
NC,OCR,39.868,-121.752,EHZ,2019.0,8.0,7.0,35.0
NC,LSH,40.793,-122.039,EHZ,2018.0,3.0,8.0,35.0
BK,SAGE,40.795,-122.039,BHZ/HHZ,2020.0,3.0,6.0,35.0
NC,LWHB,40.642,-121.947,EHZ,2020.0,6.0,6.0,35.0
UO,NBFR,45.726,-123.853,HHZ,2020.0,5.0,6.0,35.0
PB,B027,44.497,-122.962,EHZ,2007.0,3.0,19.0,36.0
NC,KHMB,40.875,-123.733,HHZ,2016.0,4.0,10.0,36.0
UW,LUMI,48.72,-122.706,HHZ,2018.0,2.0,8.0,36.0
NC,LHE,41.629,-122.232,EHZ,2015.0,4.0,11.0,36.0
BK,BCCR,39.819,-121.734,BHZ/HHZ,2020.0,6.0,6.0,37.0
NC,LBO,41.492,-122.244,EHZ,2017.0,4.0,9.0,37.0
BK,RVIT,39.906,-123.379,BHZ/HHZ,2019.0,2.0,7.0,37.0
UO,KBO,42.212,-124.226,HHZ,2020.0,2.0,6.0,39.0
NC,LGY,41.345,-122.196,HHZ,2018.0,5.0,8.0,39.0
UW,LCCR,45.206,-122.478,HHZ,2020.0,9.0,6.0,39.0
BK,DMOR,40.71,-123.703,BHZ/HHZ,2019.0,1.0,7.0,40.0
UW,WHGC,46.656,-123.73,HHZ,2019.0,5.0,7.0,41.0
UO,KEB,42.872,-124.334,HHZ,2020.0,6.0,6.0,41.0
NC,LDB,40.431,-121.786,EHZ,2018.0,4.0,8.0,41.0
UW,STOR,47.188,-121.989,HHZ,2014.0,7.0,12.0,41.0
BK,MILL,41.705,-124.041,BHZ/HHZ,2021.0,5.0,5.0,42.0
UW,NEMA,46.497,-123.75,HHZ,2021.0,4.0,5.0,42.0
UW,OTR,48.086,-124.345,HHZ,2020.0,4.0,6.0,42.0
