ym,nrow,nsite,nmode,idx_sig_real,idx_sig_meas,year
2013-07,1906,49,3,0.1818174821541754,0.07995370440056927,2013
2013-08,1891,49,3,0.18183104189508403,0.08044093023824926,2013
2013-09,1948,50,3,0.1825014108921585,0.08025988427812344,2013
2013-10,1994,52,3,0.18819016650275394,0.07889892934499597,2013
2013-11,2003,52,3,0.18187896355646532,0.07858589875163996,2013
2013-12,2013,53,3,0.1802149035879341,0.07783622610221849,2013
2014-01,2010,51,3,0.17998386955495368,0.07752306253188616,2014
2014-02,2014,51,3,0.18132215372237667,0.07812802318458628,2014
2014-03,2032,52,3,0.17957553691927786,0.07741318690456495,2014
2014-04,2071,54,3,0.1803705805927538,0.07808376080231917,2014
2014-05,2024,52,3,0.18025872616406116,0.07748788388566147,2014
2014-06,2000,51,3,0.18236464185518056,0.07851325618500155,2014
2014-07,2069,54,3,0.17783501711090188,0.07747628018322064,2014
2014-08,2077,55,3,0.17776411569788164,0.07863437440025901,2014
2014-09,2046,53,3,0.1814421117303112,0.0805739858768004,2014
2014-10,2039,55,3,0.17896068299135962,0.07778512591326557,2014
2014-11,2072,54,3,0.18038927372846172,0.07812488613817863,2014
2014-12,2027,53,2,0.18693927098359256,0.07993577826418859,2014
2015-01,1943,53,3,0.18486634790979847,0.07953964229871041,2015
2015-02,2042,54,3,0.1797471658806421,0.07893484167896606,2015
2015-03,1974,52,3,0.1848210373190552,0.07905402148657005,2015
2015-04,1969,53,3,0.18690071212724121,0.07972106158424107,2015
2015-05,1970,52,3,0.18530082722201574,0.07831733545609444,2015
2015-06,2004,53,3,0.18238384191386192,0.07943662679439509,2015
2015-07,2014,53,3,0.1798088283422989,0.07792349532622854,2015
2015-08,2075,54,3,0.1776918877190791,0.0771707003403535,2015
2015-09,2010,54,3,0.18640024341241668,0.07863079905656058,2015
2015-10,2016,54,3,0.18419405592284926,0.07818805720267506,2015
2015-11,2054,54,3,0.1801503083004104,0.07845786031687774,2015
2015-12,2056,53,3,0.17900298186698724,0.07783931435613564,2015
2016-01,1840,49,3,0.20090181197280543,0.0831096476828921,2016
2016-02,2017,53,3,0.19436806013826224,0.08324424790743949,2016
2016-03,2023,52,3,0.18743758676381497,0.07776149983476612,2016
2016-04,2002,52,3,0.19035640496197384,0.07850503719684043,2016
2016-05,2035,53,3,0.18047940386643838,0.07811502148287763,2016
2016-06,2059,54,3,0.18177276470271064,0.07936747072608782,2016
2016-07,2042,53,3,0.18049779480820596,0.0780437332039108,2016
2016-08,2055,53,3,0.18026343323180688,0.0778687092915861,2016
2016-09,2053,54,3,0.18141812503974922,0.0801174326724902,2016
2016-10,2172,56,3,0.17446523129118238,0.0774782471920764,2016
2016-11,2116,55,3,0.18276476922697824,0.07798818175042253,2016
2016-12,2211,59,3,0.17195426277940828,0.07291740431176036,2016
2017-01,2169,58,3,0.17221015781028387,0.07273585281233722,2017
2017-02,2274,61,3,0.17138369399877598,0.07255732738115812,2017
2017-03,2250,62,3,0.16894686272360904,0.0735626290887146,2017
2017-04,2239,62,3,0.1688912249054071,0.07504314440120695,2017
2017-05,2353,65,3,0.16194388206655605,0.07436272374770447,2017
2017-06,2337,67,3,0.16366963784803343,0.07501648032555375,2017
2017-07,2382,68,3,0.16639071933028984,0.08559366232392467,2017
2017-08,2437,68,3,0.16621435099213233,0.0851471217936876,2017
2017-09,2481,69,3,0.16726009016606763,0.08537053586309971,2017
2017-10,2538,71,3,0.1753514105987544,0.09474869847972665,2017
2017-11,2557,70,3,0.17322319382073867,0.09338114802149636,2017
2017-12,2643,73,3,0.16188976791763285,0.08408411928243813,2017
2018-01,2696,74,3,0.16041097131527227,0.0827772059269516,2018
2018-02,2673,74,3,0.16265652850980672,0.08399459853397115,2018
2018-03,2703,76,3,0.16016954301328554,0.08258611457201202,2018
2018-04,2672,74,3,0.16336424352198775,0.083322212661815,2018
2018-05,2715,76,3,0.16098257558948054,0.08239447516756747,2018
2018-06,2588,72,3,0.1655816455035395,0.08344120209988573,2018
2018-07,2490,71,3,0.1729017938638079,0.08835302025203073,2018
2018-08,2552,73,3,0.17060180581194334,0.0878095112754758,2018
2018-09,2537,73,3,0.16599457492364206,0.08951301009976682,2018
2018-10,2663,75,11,0.15634779438544494,0.08358458064382102,2018
2018-11,2701,76,3,0.1548222168575171,0.08504966153246263,2018
2018-12,2688,73,3,0.15414225469397852,0.08439374421166146,2018
2019-01,2701,73,3,0.15287578662415355,0.08350534974408526,2019
2019-02,2624,78,3,0.15575169749745252,0.08537032982889882,2019
2019-03,2868,81,11,0.1496467529349917,0.08160361632058069,2019
2019-04,2781,78,3,0.1574801492626903,0.08271785938192365,2019
2019-05,2724,79,3,0.16064326374192725,0.08317010377000308,2019
2019-06,2562,76,2,0.1701321657346765,0.08557492097465183,2019
2019-07,2625,76,2,0.1610350579423058,0.08661878983284764,2019
2019-08,2956,83,3,0.15074707997031472,0.08177712802330141,2019
2019-09,2915,81,3,0.1538956060701014,0.0840956411615272,2019
2019-10,2955,84,3,0.15203187125405276,0.0838277160308965,2019
2019-11,3036,86,3,0.15254840855758678,0.08423479720892603,2019
